cell,N,K,method,seed,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
N40-K2,40,2,B2-chase,4,0.7391304347826086,2.054497605759802,13615.281611684604,851,273,0,92,68,21,0.2165,14
N40-K2,40,2,B6-noVWprune,0,0.5631067961165048,2.1036224738572256,15525.987744304346,145,242,0,103,58,38,0.3955,32
N40-K2,40,2,B6-noVWprune,1,0.5945945945945946,2.1222317031082185,15833.58147485918,175,259,0,111,66,33,0.3105,33
N40-K2,40,2,B6-noVWprune,2,0.7948717948717948,1.9088346294408458,14147.355887216663,132,235,0,78,62,15,0.239,13
N40-K2,40,2,B6-noVWprune,3,0.7659574468085106,2.213194636864552,15305.57181670298,227,293,0,94,72,16,0.2455,13
N40-K2,40,2,B6-noVWprune,4,0.6989247311827957,1.829764133633239,14456.946812028915,254,277,0,93,65,25,0.244,17
N40-K2,40,2,B4-flat,0,0.5471698113207547,3.6693976940932385,18337.72994810186,187,199,0,106,58,37,0.3955,31
N40-K2,40,2,B4-flat,1,0.45454545454545453,4.409002929188756,17898.43690065371,234,145,0,88,40,31,0.3105,26
N40-K2,40,2,B4-flat,2,0.7012987012987013,2.624314733939695,15429.72081356396,127,197,0,77,54,18,0.239,16
N40-K2,40,2,B4-flat,3,0.5684210526315789,3.022317186427924,18516.173710023955,108,214,0,95,54,30,0.2455,18
N40-K2,40,2,B4-flat,4,0.5789473684210527,2.519492739800692,16892.795032972666,236,215,0,95,55,32,0.244,23
