apps_arrived,apps_done,apps_failed,energy_j,episode,eval_seed,fail_uncovered,frac_unassociated,kind,leo_invalid_attempts,leo_placements,mean_delay_s,reward,success_rate
,,,,381,,,,train,,,,-352.70021970532014,
,,,,382,,,,train,,,,-591.1785713346507,
,,,,383,,,,train,,,,-492.39106561761093,
,,,,384,,,,train,,,,-374.9646198983003,
,,,,385,,,,train,,,,-383.95464478128963,
,,,,386,,,,train,,,,-385.7376217979378,
,,,,387,,,,train,,,,-497.01638882632557,
,,,,388,,,,train,,,,-356.1274905593519,
,,,,389,,,,train,,,,-480.53504822330683,
,,,,390,,,,train,,,,-429.86972993725357,
,,,,391,,,,train,,,,-407.9606363840679,
,,,,392,,,,train,,,,-430.8427420776379,
,,,,393,,,,train,,,,-264.3499139911906,
,,,,394,,,,train,,,,-362.80272739793594,
,,,,395,,,,train,,,,-428.16507192694377,
,,,,396,,,,train,,,,-292.13297482865795,
,,,,397,,,,train,,,,-354.15758869905153,
,,,,398,,,,train,,,,-331.6222083013899,
,,,,399,,,,train,,,,-505.64923607344434,
103,58,36,22600.518179006347,399,0,23,0.3095,eval,229,235,2.9226075920464516,-527.8251817900634,0.5631067961165048
100,58,28,20638.738037334446,399,1,26,0.3075,eval,142,240,3.256395877919695,-442.8873803733446,0.58
80,53,19,22944.115719264933,399,2,10,0.2125,eval,142,197,3.286623027343059,-391.0411571926493,0.6625
95,42,37,22276.208344443457,399,3,15,0.206,eval,443,179,2.9520407270025637,-532.3020834444345,0.4421052631578947
88,50,32,19999.326517836005,399,4,21,0.238,eval,155,197,3.1909369218343135,-468.11326517836005,0.5681818181818182
