difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,line,scale,seed,area_km,road_km,uav_speed,runtime_s
v2x_hotspot_hard,none,pmeo_e,15,-115.02708198035495,44.75000638551198,0.07391239574338093,0.3755077533112923,84.33333333333333,84.70884108664464,0.9651999999999998,0.03480000000000001,0.12966666666666668,6175,464,861,0.8233333333333334,0.06186666666666667,0.1148,real,1.0,314,1.0,0.7,25.0,3.1
v2x_hotspot_hard,none,random,15,-295.92429764701507,76.88392293847853,0.14092374129689983,1.1597009217369831,146.79790239724798,147.95760331898492,0.8946666666666668,0.1053333333333333,0.49502954638246344,2517,2476,2507,0.3356,0.33013333333333333,0.33426666666666666,real,1.0,314,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,postmove_exact,15,-130.50046491981084,69.83591707812741,0.10437475163946328,0.5354501649209618,147.92877416920436,148.46422433412533,0.9682666666666667,0.031733333333333336,0.20526666666666663,5562,369,1569,0.7416,0.0492,0.2092,real,1.0,555,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,current_exact,15,-132.43996836602554,69.08217093615308,0.10451970746777874,0.539038818823913,147.92877416920436,148.46781298802827,0.9673333333333333,0.03266666666666667,0.20436666666666667,5563,376,1561,0.7417333333333334,0.050133333333333335,0.20813333333333334,real,1.0,555,1.0,0.7,25.0,2.1
v2x_hotspot_hard,none,predict_tea,15,-132.44028599923627,69.08153444165866,0.10452010739767602,0.5402155014447038,147.92877416920436,148.46898967064908,0.9673333333333333,0.03266666666666667,0.20426666666666668,5563,376,1561,0.7417333333333334,0.050133333333333335,0.20813333333333334,real,1.0,555,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,follow_tea,15,-135.0077419646342,67.3706171501238,0.10379309761538993,0.526167094731954,147.91909780799352,148.44526490272543,0.9658666666666668,0.034133333333333335,0.207,5557,378,1565,0.7409333333333333,0.0504,0.20866666666666667,real,1.0,555,1.0,0.7,25.0,2.1
v2x_hotspot_hard,none,pmeo_e,15,-214.56853764628306,120.89222995040785,0.11968200165498817,0.5253681878899729,85.41666666666667,85.94203485455664,0.9269333333333332,0.07306666666666667,0.20526666666666668,5546,726,1228,0.7394666666666667,0.0968,0.16373333333333334,real,1.0,555,1.0,0.7,25.0,4.3
v2x_hotspot_hard,none,random,15,-498.6851838019846,258.1016862128248,0.2308396491678411,2.013006240736366,145.3072526065716,147.320258847308,0.8157333333333331,0.18426666666666666,0.50187984642543,2454,2489,2557,0.3272,0.33186666666666664,0.3409333333333333,real,1.0,555,1.0,0.7,25.0,1.3
v2x_hotspot_hard,none,postmove_exact,15,-95.59565443061068,56.69998265362284,0.07801450844648808,0.41558631123267664,146.80174909576695,147.21733540699958,0.9790666666666666,0.02093333333333334,0.1474333333333333,6044,342,1114,0.8058666666666666,0.0456,0.14853333333333332,real,1.0,888,1.0,0.7,25.0,2.0
v2x_hotspot_hard,none,current_exact,15,-96.7113342125656,56.76331674556623,0.07811150040905064,0.4207576513024035,146.80174909576695,147.22250674706933,0.9785333333333333,0.021466666666666672,0.147,6048,315,1137,0.8064,0.042,0.1516,real,1.0,888,1.0,0.7,25.0,2.0
v2x_hotspot_hard,none,predict_tea,15,-96.7113342125656,56.76331674556623,0.07811150040905064,0.4207576513024035,146.80174909576695,147.22250674706933,0.9785333333333333,0.021466666666666672,0.147,6048,315,1137,0.8064,0.042,0.1516,real,1.0,888,1.0,0.7,25.0,2.3
v2x_hotspot_hard,none,follow_tea,15,-102.76451891044847,59.16351840309327,0.07706531190177898,0.40019292365635784,145.91843667193342,146.3186295955898,0.9751999999999998,0.024800000000000003,0.1505,6039,341,1120,0.8052,0.04546666666666667,0.14933333333333335,real,1.0,888,1.0,0.7,25.0,2.2
